Draw Date,Winning Numbers,Mega Ball,Multiplier,Game Type,Split 1,Split 2,Split 3,Split 4,Split 5,Split 6,Split 7,Split 8,Split 9,Split 10,Split 11,Split 12,Split 13,Split 14,Split 15,Split 16,Split 17,Split 18,Split 19,Split 20
2/17/23,02 33 38 57 70,13,03,Mega Millions,2,33,38,57,70,,,,,,,,,,,,,,,
2/14/23,23 24 35 40 43,01,03,Mega Millions,23,24,35,40,43,,,,,,,,,,,,,,,
2/10/23,20 29 30 52 58,19,03,Mega Millions,20,29,30,52,58,,,,,,,,,,,,,,,
2/7/23,09 15 46 55 57,04,02,Mega Millions,9,15,46,55,57,,,,,,,,,,,,,,,
2/3/23,01 04 50 54 59,17,02,Mega Millions,1,4,50,54,59,,,,,,,,,,,,,,,
1/31/23,07 09 18 29 39,13,04,Mega Millions,7,9,18,29,39,,,,,,,,,,,,,,,
1/27/23,04 43 46 47 61,22,04,Mega Millions,4,43,46,47,61,,,,,,,,,,,,,,,
1/24/23,33 41 47 50 62,20,04,Mega Millions,33,41,47,50,62,,,,,,,,,,,,,,,
1/20/23,20 29 31 64 66,17,04,Mega Millions,20,29,31,64,66,,,,,,,,,,,,,,,
1/17/23,02 12 18 24 39,18,03,Mega Millions,2,12,18,24,39,,,,,,,,,,,,,,,
1/13/23,30 43 45 46 61,14,02,Mega Millions,30,43,45,46,61,,,,,,,,,,,,,,,
1/10/23,07 13 14 15 18,09,03,Mega Millions,7,13,14,15,18,,,,,,,,,,,,,,,
1/6/23,03 20 46 59 63,13,03,Mega Millions,3,20,46,59,63,,,,,,,,,,,,,,,
1/3/23,25 29 33 41 44,18,04,Mega Millions,25,29,33,41,44,,,,,,,,,,,,,,,
12/30/22,01 03 06 44 51,07,03,Mega Millions,1,3,6,44,51,,,,,,,,,,,,,,,
12/27/22,09 13 36 59 61,11,02,Mega Millions,9,13,36,59,61,,,,,,,,,,,,,,,
12/23/22,15 21 32 38 62,08,04,Mega Millions,15,21,32,38,62,,,,,,,,,,,,,,,
12/20/22,03 04 33 36 52,17,04,Mega Millions,3,4,33,36,52,,,,,,,,,,,,,,,
12/16/22,08 35 40 53 56,11,03,Mega Millions,8,35,40,53,56,,,,,,,,,,,,,,,
12/13/22,14 22 48 58 68,06,02,Mega Millions,14,22,48,58,68,,,,,,,,,,,,,,,
